Client,Workstream,Priority,Area,Assign To,Start,Finish,Duration,Status,Remarks,Week,Risks and Dependencies,Month,Year
Internal,Pit or Dump Design procedure,3,Procedure,Glen,16-Feb-26,24-Feb-26,8,Completed,Completed,8,"Multiple versions, non compliance, errors",2,2026
Internal,Pseudoflow Algorithm for Pit Optimization procedure,3,Procedure,Glen,16-Feb-26,24-Feb-26,8,Completed,Completed,8,"Multiple versions, non compliance, errors",2,2026
Internal,D&B QA/QC SOP,3,Procedure,Glen,28-Feb-26,1-Mar-26,1,Completed,Pending Site Management approval,9,Governance dependency,2,2026
CUF Orlando,Orlando Pit Optimization,1,Optimization,"Glen, Steph",28-Feb-26,3-Mar-26,3,Completed,Main pushback RF1.00 (best margin),9,Governance dependency,2,2026
TML Golden Kangaroo,Golden Kangaroo Pit Optimization,1,Optimization,"Glen, Steph",28-Feb-26,3-Mar-26,3,Completed,Starter RF0.75; Main RF1.00; Ext RF1.25,9,Governance dependency,2,2026
Internal,Mine Dev & Prod Recon SOP,3,Procedure,Glen,28-Feb-26,1-Mar-26,1,Completed,Workflow forwarded to all concerned for feedback and inputs,9,Governance dependency,2,2026
CUF Gecko,Gecko Pit Optimization,2,Optimization,"Glen, Steph",28-Feb-26,3-Mar-26,3,Completed,Awaiting 230GB block model; sanitize parameters suggested to compress file,9,Optimization input dependency,2,2026
Internal,Mine Reconciliation procedure,3,Procedure,Glen,11-Mar-26,12-Mar-26,1,Completed,Completed,11,"Multiple versions, non compliance, errors",3,2026
Internal,Deswik License Management and Usage Scheduling procedure,2,Procedure,Glen,11-Mar-26,12-Mar-26,1,Completed,Completed,11,"Multiple versions, non compliance, errors",3,2026
Internal,Drill and Blast QAQC procedure,2,Procedure,Glen,11-Mar-26,12-Mar-26,1,Completed,Completed,11,"Multiple versions, non compliance, errors",3,2026
Internal,Grade Control procedure,3,Procedure,Glen,13-Mar-26,15-Mar-26,2,Completed,Completed,11,"Multiple versions, non compliance, errors",3,2026
Internal,Void Management procedure,3,Procedure,Glen,13-Mar-26,15-Mar-26,2,Completed,Completed,11,"Multiple versions, non compliance, errors",3,2026
Internal,Pit Optimization Validation procedure,2,Procedure,Glen,14-Mar-26,16-Mar-26,2,Completed,Completed,11,"Multiple versions, non compliance, errors",3,2026
Internal,Mine Reconciliation PPT for GG Clark,2,Presentation,Glen,17-Mar-26,24-Mar-26,7,Completed,Presented during the Weekly Technical and Toolbox meeting in Clark dated Mar 24,12,"Demo failure, unanswered questions and incorrect conclusions",3,2026
TML Warrego,Re-run Warrego Pit Optimization,1,Optimization,"Glen, Steph",19-Mar-26,23-Mar-26,4,Completed,"Sent by Steph dated Mar 21; Per Steve, BM requires revision to extend its extent to work with correct tonnage",12,Optimization input dependency,3,2026
CUF Orlando,Re-run Orlando Pit Optimization,1,Optimization,"Glen, Steph",19-Mar-26,23-Mar-26,4,Completed,Sent by GRR dated Mar 22; for review of Steve,12,Optimization input dependency,3,2026
CUF Gecko,Re-run Gecko Pit Optimization,1,Optimization,"Glen, Steph",19-Mar-26,23-Mar-26,4,Completed,Sent by GRR dated Mar 21; for review of Steve,12,Optimization input dependency,3,2026
Internal,"Pit Optimization Validation procedure, revised",2,Procedure,Glen,20-Mar-26,24-Mar-26,4,Completed,Completed,12,"Multiple versions, non compliance, errors",3,2026
Internal,Drill and Blast Design and Engineering Process,1,Procedure,Glen,23-Mar-26,31-Mar-26,8,In progress,In progress; conducting daily coordination with DB Engineer,13,"Availability of DB Engineer, non-compliance, unanswered questions, demo failure",3,2026
Internal,Drill and Blast Design and Engineering training and familiarization,1,Training,Glen,23-Mar-26,7-Apr-26,15,In progress,In progress; conducting daily coordination with DB Engineer,13,"Availability of DB Engineer, non-compliance, unanswered questions, demo failure",3,2026
TML Golden Kangaroo,Re-run Golden Kangaroo Pit Optimization and Revenue Factor (RF) at 0.25 increment between 0.25 and 2.00,1,Optimization,Glen,24-Mar-26,26-Mar-26,2,Completed,Completed,13,Accessibility and availability of Deswik sofware; input dependencies,3,2026
TML Golden Kangaroo,Re-run Golden Kangaroo Pit Optimization and Revenue Factor (RF) at 0.01 increment between 0.50 and 0.75,1,Optimization,Glen,26-Mar-26,27-Mar-26,1,Completed,Completed,13,Accessibility and availability of Deswik sofware; input dependencies,3,2026
OZL Eclipse,Eclipse Ozland Pit Optimization,1,Optimization,"Glen, Steph",5-Apr-26,13-Apr-26,8,In progress,Awaiting sanitized block model,14,Optimization input dependency,4,2026
TML Kimberly Kid,Kimberly Kid Pit Optimization,1,Optimization,"Glen, Steph",5-Apr-26,7-Apr-26,2,In progress,In progress; updated BM sent for approval dated Apr 1,14,Optimization input dependency,4,2026
ARCT Bidjovagge,Bidjovagge string to solid conversion of underground declinie,1,Others,Steph,5-Apr-26,6-Apr-26,1,Completed,Completed,14,Input dependency,4,2026
TML Nobles Nob,Noble Nob Pit Optimization re-run,2,Optimization,"Glen, Steph",5-Apr-26,8-Apr-26,3,In progress,In progress; updated BM sent for approval dated Apr 1,14,Optimization input dependency,4,2026
